OrderNo|LineNumber|ProductID|VariationID|UnitPrice|UnitVat|Quantity
451-2841-9351|1|202974761|209772457|2273.0|227.3|1
193-7214-1758|4|203185600|210444558|2273.0|227.3|1
451-2849-2482|8|201423582|205018269|3182.0|318.2|1
21-9285-4252|1|201197262|204299750|11727.0|1172.7|1
193-7214-1758|1|203040894|209990930|2273.0|227.3|1
107-8425-7768|1|203040888|209990924|2273.0|227.3|1
451-2846-5927|1|203040894|209990930|2273.0|227.3|1
451-2841-9351|5|203041177|209991216|1727.0|172.7|1
451-2845-9048|19|203329419|210728914|1091.0|109.1|1
365-4411-9647|1|13379867|39766809|11727.0|1172.7|1
107-8433-1164|9|13317562|39100952|1364.0|136.4|1
107-8430-3144|5|203193599|210467178|818.0|81.8|1
451-2841-6899|1|203040894|209990930|2272.5|227.25|2
193-7199-9363|1|203294565|210680145|4500.0|450.0|1
193-7199-7429|3|203041178|209991217|1091.0|109.1|1
107-8440-0746|5|203041482|209991536|818.0|81.8|1
193-7206-2884|8|13317535|39100960|1302.0|130.2|1
107-8430-9948|2|203040890|209990926|2273.0|227.3|1
451-2847-1156|3|203275574|210625341|1091.0|109.1|1
107-8430-8006|1|203040894|209990930|2273.0|227.3|1
193-7214-1526|2|203185628|210444586|818.0|81.8|1
279-5998-3128|1|13314170|38690024|1000.0|100.0|1
193-7207-1647|1|203266406|210598050|771.6|77.16|5
193-7206-2884|4|203040894|209990930|2170.0|217.0|1
451-2841-6899|5|203041178|209991217|1091.0|109.1|1
365-4445-4776|2|13314170|38690024|1000.0|100.0|1
107-8432-5389|6|203266403|210598047|800.0|80.0|1
193-7204-8031|3|203041482|209991536|818.0|81.8|1
107-8430-3144|8|203329429|210728924|591.0|59.1|1
451-2848-7922|3|203040888|209990924|2273.0|227.3|1
451-2848-7922|2|203041479|209991533|818.0|81.8|1
365-4446-0296|3|13314170|38690024|1000.0|100.0|1
107-8432-2120|5|203294578|210680195|7273.0|727.3|1
107-8440-1756|2|203041178|209991217|1091.0|109.1|1
279-5944-6609|1|203294572|210680173|5000.0|500.0|1
279-5944-6609|3|203373749|210813435|772.5|77.25|2
107-8432-5389|9|203266402|210598046|800.0|80.0|1
365-4389-7338|1|203294572|210680173|5000.0|500.0|1
193-7206-9627|7|203040894|209990930|2273.0|227.3|1
193-7207-0068|1|203040888|209990924|2273.0|227.3|1
451-2845-9048|22|203329431|210728926|591.0|59.1|1
21-9285-4884|3|13378227|39760819|11727.0|1172.7|1
193-7214-1635|4|203041482|209991536|818.0|81.8|1
279-5944-6485|41|203294572|210680173|4773.0|477.3|1
107-8432-5389|3|203266405|210598049|800.0|80.0|1
107-8439-8944|16|203185628|210444586|818.0|81.8|1
451-2847-1156|2|203329414|210728909|1091.0|109.1|1
193-7204-8031|5|203329431|210728926|591.0|59.1|1
193-7214-1635|5|203041623|209991677|4545.0|454.5|1
107-8425-8581|1|202974761|209772457|2273.0|227.3|1
193-7214-1635|2|203041337|209991379|1545.0|154.5|1
193-7199-7429|1|203040894|209990930|2273.0|227.3|1
107-8439-8944|11|203040894|209990930|2273.0|227.3|1
193-7199-7429|2|203041337|209991379|1545.0|154.5|1
193-7206-9627|8|203041178|209991217|1091.0|109.1|1
193-7199-8516|1|203041482|209991536|818.0|81.8|1
451-2847-1156|4|203329421|210728916|1091.0|109.1|1
279-5967-3414|2|201197267|204299774|8091.0|809.1|1
451-2841-7304|5|203040894|209990930|2273.0|227.3|1
451-2841-9351|4|203040894|209990930|2273.0|227.3|1
365-4389-7282|3|203294572|210680173|4848.0|484.8|1
451-2848-9226|1|202156573|207309448|2273.0|227.3|1
451-2849-1348|1|203040894|209990930|2273.0|227.3|1
193-7207-7351|4|203266403|210598047|800.0|80.0|1
107-8433-1164|1|203266421|210598065|818.0|81.8|1
365-4445-4503|1|13314170|38690024|1000.0|100.0|1
193-7199-9363|3|203294625|210680245|2000.0|200.0|1
107-8431-0799|1|203040894|209990930|2273.0|227.3|1
279-5944-7623|12|203294572|210680174|5000.0|500.0|1
279-5998-3424|3|13314170|38690024|1000.0|100.0|2
193-7207-2445|4|203040894|209990930|2273.0|227.3|1
451-2848-4958|2|203266405|210598049|800.0|80.0|1
193-7206-2224|5|203041337|209991379|1545.0|154.5|1
451-2848-4337|4|203185628|210444586|818.0|81.8|1
193-7214-1526|6|203185642|210444600|1727.0|172.7|1
107-8432-7972|4|203040890|209990926|2273.0|227.3|1
451-2841-6965|1|203041173|209991212|1625.0|162.5|1
451-2848-4337|6|203266406|210598050|800.0|80.0|5
279-6000-0258|5|202294009|207872172|1273.0|127.3|1
107-8440-2820|3|203041337|209991379|1545.0|154.5|1
451-2848-9226|2|203266395|210598039|1545.0|154.5|1
451-2849-1348|2|203041482|209991536|818.0|81.8|1
279-5966-7615|3|201705531|205897986|455.0|45.5|1
451-2848-9226|3|203040894|209990930|2273.0|227.3|1
451-2849-0601|2|203041177|209991216|1727.0|172.7|1
193-7199-8383|4|203294557|210680136|3442.0|344.2|1
193-7207-1377|7|203041337|209991379|1504.0|150.4|1
193-7213-9177|3|203041178|209991217|1091.0|109.1|1
193-7206-2224|2|203329431|210728926|591.0|59.1|1
107-8425-7768|2|203041479|209991533|818.0|81.8|1
451-2845-9213|1|203040888|209990924|2273.0|227.3|1
365-4443-4035|1|13385319|39792189|2000.0|200.0|1
107-8430-3144|15|203040894|209990930|2273.0|227.3|1
107-8440-0746|8|203041337|209991379|1545.0|154.5|1
451-2846-4405|1|203041178|209991217|1091.0|109.1|1
